METAPOPULATION MODEL results; Date=8/2/2023 Time=23:01:31
===========================================================
B10




   22 populations (22 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
       15       0.00      -0.30       1.63       3.57      10.00
       16       0.00      -0.44       1.52       3.48       9.00
       17       0.00      -0.52       1.34       3.20       9.00
       18       0.00      -0.62       1.16       2.95      10.00
       19       0.00      -0.65       1.07       2.79       9.00
       20       0.00      -0.66       0.97       2.60       7.00
       21       0.00      -0.78       0.88       2.54      10.00
       22       0.00      -0.82       0.81       2.45      10.00
       23       0.00      -0.79       0.73       2.24      13.00
       24       0.00      -0.80       0.68       2.15       9.00
       25       0.00      -0.84       0.61       2.06       8.00
       26       0.00      -0.85       0.57       1.99       8.00
       27       0.00      -0.76       0.47       1.70       8.00
       28       0.00      -0.81       0.45       1.71       8.00
       29       0.00      -0.77       0.39       1.55       9.00
       30       0.00      -0.86       0.39       1.65       8.00
       31       0.00      -0.82       0.33       1.48       9.00
       32       0.00      -0.76       0.28       1.31       9.00
       33       0.00      -0.78       0.27       1.32      12.00
       34       0.00      -0.64       0.22       1.08       9.00
       35       0.00      -0.76       0.23       1.23      10.00
       36       0.00      -0.63       0.19       1.01       7.00
       37       0.00      -0.57       0.15       0.87       8.00
       38       0.00      -0.60       0.15       0.90       9.00
       39       0.00      -0.64       0.14       0.91      11.00
       40       0.00      -0.56       0.11       0.79       7.00
       41       0.00      -0.57       0.10       0.78       7.00
       42       0.00      -0.41       0.08       0.56       5.00
       43       0.00      -0.39       0.06       0.51       6.00
       44       0.00      -0.38       0.06       0.51       5.00
       45       0.00      -0.38       0.05       0.49       6.00
       46       0.00      -0.35       0.05       0.45       5.00
       47       0.00      -0.29       0.04       0.37       5.00
       48       0.00      -0.41       0.05       0.51       7.00
       49       0.00      -0.43       0.04       0.51      11.00
       50       0.00      -0.30       0.03       0.36       6.00
       51       0.00      -0.28       0.03       0.33       6.00
       52       0.00      -0.22       0.02       0.26       5.00
       53       0.00      -0.25       0.02       0.29       6.00
       54       0.00      -0.22       0.02       0.26       5.00
       55       0.00      -0.21       0.02       0.25       4.00
       56       0.00      -0.23       0.02       0.27       5.00
       57       0.00      -0.22       0.02       0.26       5.00
       58       0.00      -0.23       0.02       0.27       5.00
       59       0.00      -0.23       0.02       0.27       4.00
       60       0.00      -0.35       0.02       0.40       8.00
       61       0.00      -0.30       0.02       0.34       9.00
       62       0.00      -0.28       0.02       0.32       7.00
       63       0.00      -0.23       0.02       0.26       5.00
       64       0.00      -0.17       0.01       0.20       3.00
       65       0.00      -0.17       0.01       0.19       4.00
       66       0.00      -0.13       0.01       0.14       3.00
       67       0.00      -0.17       0.01       0.18       5.00
       68       0.00      -0.14       0.01       0.15       4.00
       69       0.00      -0.10       0.01       0.12       2.00
       70       0.00      -0.13       0.01       0.14       3.00
       71       0.00      -0.18       0.01       0.20       5.00
       72       0.00      -0.18       0.01       0.19       5.00
       73       0.00      -0.19       0.01       0.20       6.00
       74       0.00      -0.09       0.00       0.09       2.00
       75       0.00      -0.09       0.00       0.09       2.00
       76       0.00      -0.10       0.00       0.10       3.00
       77       0.00      -0.03       0.00       0.03       1.00
       78       0.00       0.00       0.00       0.00       0.00
       79       0.00       0.00       0.00       0.00       0.00
       80       0.00       0.00       0.00       0.00       0.00
       81       0.00       0.00       0.00       0.00       0.00
       82       0.00       0.00       0.00       0.00       0.00
       83       0.00       0.00       0.00       0.00       0.00
       84       0.00       0.00       0.00       0.00       0.00
       85       0.00       0.00       0.00       0.00       0.00
       86       0.00       0.00       0.00       0.00       0.00
       87       0.00       0.00       0.00       0.00       0.00
       88       0.00       0.00       0.00       0.00       0.00
       89       0.00       0.00       0.00       0.00       0.00
       90       0.00       0.00       0.00       0.00       0.00
       91       0.00       0.00       0.00       0.00       0.00
       92       0.00       0.00       0.00       0.00       0.00
       93       0.00       0.00       0.00       0.00       0.00
       94       0.00       0.00       0.00       0.00       0.00
       95       0.00       0.00       0.00       0.00       0.00
       96       0.00       0.00       0.00       0.00       0.00
       97       0.00       0.00       0.00       0.00       0.00
       98       0.00       0.00       0.00       0.00       0.00
       99       0.00       0.00       0.00       0.00       0.00
      100       0.00       0.00       0.00       0.00       0.00

Trajectory summary (Population 3: Pop 3)

