METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
       83       0.00       0.00       0.00       0.00       0.00
       84       0.00       0.00       0.00       0.00       0.00
       85       0.00       0.00       0.00       0.00       0.00
       86       0.00       0.00       0.00       0.00       0.00
       87       0.00       0.00       0.00       0.00       0.00
       88       0.00       0.00       0.00       0.00       0.00
       89       0.00       0.00       0.00       0.00       0.00
       90       0.00       0.00       0.00       0.00       0.00
       91       0.00       0.00       0.00       0.00       0.00
       92       0.00       0.00       0.00       0.00       0.00
       93       0.00       0.00       0.00       0.00       0.00
       94       0.00       0.00       0.00       0.00       0.00
       95       0.00       0.00       0.00       0.00       0.00
       96       0.00       0.00       0.00       0.00       0.00
       97       0.00       0.00       0.00       0.00       0.00
       98       0.00       0.00       0.00       0.00       0.00
       99       0.00       0.00       0.00       0.00       0.00
      100       0.00       0.00       0.00       0.00       0.00

Trajectory summary (Population 4: Pop 4)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      10.00      10.00      10.00      10.00      10.00
        1       4.00       8.63      12.06      15.50      24.00
        2       3.00       9.14      13.94      18.74      35.00
        3       2.00       9.86      15.16      20.46      32.00
        4       2.00      10.33      15.90      21.47      34.00
        5       1.00      10.72      16.43      22.15      34.00
        6       1.00      10.92      16.57      22.23      37.00
        7       0.00      10.88      16.80      22.72      35.00
        8       0.00      11.15      16.85      22.54      37.00
        9       0.00      11.17      16.94      22.71      39.00
       10       0.00      11.32      17.07      22.82      36.00
       11       0.00      11.38      17.18      22.97      34.00
       12       0.00      11.49      17.25      23.00      35.00
       13       0.00      11.53      17.39      23.25      38.00
       14       0.00      11.56      17.38      23.20      36.00
       15       0.00      11.78      17.39      23.00      34.00
       16       0.00      11.87      17.45      23.03      36.00
       17       0.00      11.75      17.26      22.77      34.00
       18       0.00      11.74      17.19      22.63      33.00
       19       0.00      11.72      17.47      23.22      34.00
       20       0.00      11.54      17.25      22.95      40.00
       21       0.00      11.67      17.43      23.18      38.00
       22       0.00      11.56      17.30      23.05      39.00
       23       0.00      11.36      17.08      22.79      35.00
       24       0.00      11.37      17.14      22.92      35.00
       25       0.00      11.45      17.12      22.79      38.00
       26       0.00      11.37      17.15      22.92      35.00
       27       0.00      11.69      17.43      23.18      37.00
       28       0.00      11.72      17.32      22.93      36.00
       29       0.00      11.47      17.25      23.03      34.00
       30       0.00      11.49      17.17      22.84      34.00
       31       0.00      11.33      17.33      23.32      38.00
       32       0.00      11.49      17.29      23.09      37.00
       33       0.00      11.52      17.18      22.84      34.00
       34       0.00      11.59      17.41      23.22      36.00
       35       0.00      11.64      17.45      23.26      38.00
       36       0.00      11.66      17.51      23.37      36.00
       37       0.00      11.47      17.56      23.65      37.00
       38       0.00      11.36      17.33      23.29      37.00
       39       0.00      11.56      17.33      23.11      33.00
       40       0.00      11.53      17.41      23.29      37.00
       41       0.00      11.40      17.12      22.84      33.00
       42       0.00      11.30      17.10      22.89      35.00
       43       0.00      11.37      17.18      23.00      35.00
       44       0.00      11.54      17.47      23.40      40.00
       45       0.00      11.58      17.30      23.03      33.00
       46       0.00      11.22      17.11      23.00      42.00
       47       0.00      11.19      17.27      23.35      33.00
       48       0.00      11.59      17.50      23.42      40.00
       49       0.00      11.20      17.12      23.04      35.00
       50       0.00      11.20      16.93      22.66      34.00
       51       0.00      11.07      17.09      23.11      38.00
       52       0.00      11.34      17.26      23.18      35.00
       53       0.00      11.31      17.44      23.56      35.00
       54       0.00      11.27      17.20      23.14      35.00
       55       0.00      11.23      17.11      23.00      34.00
       56       0.00      10.97      16.97      22.97      42.00
       57       0.00      11.04      16.98      22.91      36.00
       58       0.00      11.10      17.20      23.31      37.00
       59       0.00      11.07      17.15      23.23      35.00
       60       0.00      11.11      17.11      23.12      36.00
       61       0.00      11.06      16.94      22.81      37.00
       62       0.00      10.95      17.02      23.09      34.00
       63       0.00      11.15      17.18      23.21      38.00
       64       0.00      10.98      17.01      23.04      39.00
       65       0.00      11.08      17.18      23.29      38.00
       66       0.00      11.10      17.13      23.16      34.00
       67       0.00      10.95      17.15      23.34      37.00
       68       0.00      11.07      17.22      23.37      36.00
       69       0.00      11.05      17.09      23.14      38.00
       70       0.00      11.02      17.24      23.46      37.00
       71       0.00      11.11      17.27      23.42      38.00
       72       0.00      11.02      16.98      22.94      34.00
       73       0.00      10.99      16.97      22.95      36.00
       74       0.00      10.93      16.93      22.93      37.00
       75       0.00      10.81      16.97      23.14      34.00
       76       0.00      10.92      17.09      23.27      38.00
       77       0.00      10.73      16.98      23.22      37.00
       78       0.00      10.80      16.92      23.04      36.00
       79       0.00      10.67      16.85      23.03      35.00
       80       0.00      10.59      17.02      23.46      35.00
       81       0.00      10.66      17.20      23.74      38.00
       82       0.00      10.77      17.11      23.45      33.00
       83       0.00      10.79      17.13      23.47      38.00
       84       0.00      10.79      16.93      23.07      36.00
       85       0.00      10.79      17.07      23.35      35.00
       86       0.00      10.76      17.14      23.51      36.00
       87       0.00      10.83      17.00      23.17      39.00
       88       0.00      10.87      17.04      23.22      38.00
       89       0.00      10.80      16.97      23.13      35.00
       90       0.00      10.77      16.90      23.04      36.00
       91       0.00      10.78      16.91      23.03      35.00
       92       0.00      10.93      17.03      23.12      36.00
       93       0.00      10.87      17.14      23.40      40.00
       94       0.00      10.64      16.98      23.32      36.00
       95       0.00      10.64      16.93      23.22      39.00
       96       0.00      10.88      16.95      23.03      34.00
       97       0.00      10.80      16.86      22.93      36.00
       98       0.00      10.78      16.93      23.08      36.00
       99       0.00      10.60      16.83      23.07      36.00
      100       0.00      10.81      16.77      22.74      33.00

Trajectory summary (Population 5: Pop 5)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       5.00       5.00       5.00       5.00       5.00
        1       0.00       3.43       5.93       8.43      16.00
        2       0.00       3.20       6.47       9.75      18.00
        3       0.00       3.09       6.87      10.65      23.00
        4       0.00       3.26       7.19      11.11      22.00
        5       0.00       3.06       7.12      11.19      22.00
        6       0.00       3.11       7.26      11.41      20.00
        7       0.00       2.95       7.15      11.35      20.00
        8       0.00       2.87       7.08      11.29      22.00
        9       0.00       2.79       7.09      11.40      21.00
       10       0.00       1.07       3.19       5.30      10.00
       11       0.00       0.58       2.71       4.85      11.00
       12       0.00       0.25       2.24       4.23      10.00
       13       0.00       0.04       2.06       4.09      10.00
       14       0.00      -0.18       1.85       3.87      11.00
       15       0.00      -0.37       1.69       3.74      11.00
       16       0.00      -0.55       1.52       3.59      11.00
       17       0.00      -0.54       1.33       3.20      11.00
       18       0.00      -0.65       1.21       3.06      10.00
       19       0.00      -0.67       1.09       2.85      11.00
       20       0.00      -0.74       0.95       2.64      10.00
       21       0.00      -0.74       0.83       2.40      11.00
       22       0.00      -0.80       0.73       2.25      11.00
       23       0.00      -0.78       0.66       2.10       9.00
       24       0.00      -0.79       0.59       1.97       8.00
       25       0.00      -0.81       0.56       1.92       8.00
       26       0.00      -0.76       0.49       1.74       7.00
       27       0.00      -0.77       0.47       1.70       8.00
       28       0.00      -0.85       0.42       1.69      11.00
       29       0.00      -0.79       0.38       1.55       8.00
       30       0.00      -0.68       0.30       1.28       6.00
       31       0.00      -0.69       0.25       1.20       9.00
       32       0.00      -0.68       0.23       1.13       8.00
       33       0.00      -0.75       0.23       1.22       8.00
       34       0.00      -0.69       0.21       1.11       8.00
       35       0.00      -0.71       0.19       1.10       9.00
       36       0.00      -0.69       0.17       1.04       8.00
       37       0.00      -0.66       0.17       1.00       8.00
       38       0.00      -0.59       0.14       0.86       7.00
       39       0.00      -0.55       0.12       0.79       7.00
       40       0.00      -0.56       0.11       0.78       7.00
       41       0.00      -0.59       0.12       0.82       7.00
       42       0.00      -0.60       0.10       0.81      11.00
       43       0.00      -0.52       0.09       0.70       8.00
       44       0.00      -0.50       0.08       0.65       9.00
       45       0.00      -0.47       0.07       0.61       6.00
       46       0.00      -0.39       0.06       0.50       7.00
       47       0.00      -0.37       0.05       0.47       7.00
       48       0.00      -0.35       0.05       0.45       5.00
       49       0.00      -0.43       0.05       0.53       7.00
       50       0.00      -0.41       0.05       0.51       8.00
       51       0.00      -0.38       0.04       0.46       6.00
       52       0.00      -0.37       0.04       0.45       9.00
       53       0.00      -0.30       0.03       0.36       7.00
       54       0.00      -0.27       0.03       0.32       5.00
       55       0.00      -0.25       0.02       0.29       5.00
       56       0.00      -0.30       0.02       0.35       7.00
       57       0.00      -0.37       0.03       0.44       7.00
       58       0.00      -0.35       0.03       0.41       6.00
       59       0.00      -0.33       0.03       0.38       6.00
       60       0.00      -0.20       0.02       0.24       4.00
       61       0.00      -0.19       0.01       0.22       4.00
