METAPOPULATION MODEL results; Date=8/2/2023 Time=21:30:00
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
       51       0.00       0.00       0.00       0.00       0.00
       52       0.00       0.00       0.00       0.00       0.00
       53       0.00       0.00       0.00       0.00       0.00
       54       0.00       0.00       0.00       0.00       0.00
       55       0.00       0.00       0.00       0.00       0.00
       56       0.00       0.00       0.00       0.00       0.00
       57       0.00       0.00       0.00       0.00       0.00
       58       0.00       0.00       0.00       0.00       0.00
       59       0.00       0.00       0.00       0.00       0.00
       60       0.00       0.00       0.00       0.00       0.00
       61       0.00       0.00       0.00       0.00       0.00
       62       0.00       0.00       0.00       0.00       0.00
       63       0.00       0.00       0.00       0.00       0.00
       64       0.00       0.00       0.00       0.00       0.00
       65       0.00       0.00       0.00       0.00       0.00
       66       0.00       0.00       0.00       0.00       0.00
       67       0.00       0.00       0.00       0.00       0.00
       68       0.00       0.00       0.00       0.00       0.00
       69       0.00       0.00       0.00       0.00       0.00
       70       0.00       0.00       0.00       0.00       0.00
       71       0.00       0.00       0.00       0.00       0.00
       72       0.00       0.00       0.00       0.00       0.00
       73       0.00       0.00       0.00       0.00       0.00
       74       0.00       0.00       0.00       0.00       0.00
       75       0.00       0.00       0.00       0.00       0.00
       76       0.00       0.00       0.00       0.00       0.00
       77       0.00       0.00       0.00       0.00       0.00
       78       0.00       0.00       0.00       0.00       0.00
       79       0.00       0.00       0.00       0.00       0.00
       80       0.00       0.00       0.00       0.00       0.00
       81       0.00       0.00       0.00       0.00       0.00
       82       0.00       0.00       0.00       0.00       0.00
       83       0.00       0.00       0.00       0.00       0.00
       84       0.00       0.00       0.00       0.00       0.00
       85       0.00       0.00       0.00       0.00       0.00
       86       0.00       0.00       0.00       0.00       0.00
       87       0.00       0.00       0.00       0.00       0.00
       88       0.00       0.00       0.00       0.00       0.00
       89       0.00       0.00       0.00       0.00       0.00
       90       0.00       0.00       0.00       0.00       0.00
       91       0.00       0.00       0.00       0.00       0.00
       92       0.00       0.00       0.00       0.00       0.00
       93       0.00       0.00       0.00       0.00       0.00
       94       0.00       0.00       0.00       0.00       0.00
       95       0.00       0.00       0.00       0.00       0.00
       96       0.00       0.00       0.00       0.00       0.00
       97       0.00       0.00       0.00       0.00       0.00
       98       0.00       0.00       0.00       0.00       0.00
       99       0.00       0.00       0.00       0.00       0.00
      100       0.00       0.00       0.00       0.00       0.00

Trajectory summary (Population 3: Pop 3)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      10.00      10.00      10.00      10.00      10.00
        1       2.00       8.54      12.02      15.50      25.00
        2       2.00       9.01      13.75      18.48      33.00
        3       1.00       9.47      14.83      20.19      33.00
        4       0.00      10.01      15.75      21.50      34.00
        5       0.00      10.35      16.31      22.27      37.00
        6       0.00      10.42      16.42      22.43      32.00
        7       0.00      10.91      16.88      22.85      34.00
        8       0.00      11.38      17.08      22.78      37.00
        9       0.00      11.51      17.23      22.94      37.00
       10       0.00      10.49      15.78      21.08      34.00
       11       0.00      10.28      15.44      20.60      32.00
       12       0.00      10.29      15.34      20.39      33.00
       13       0.00       9.90      15.04      20.17      35.00
       14       0.00       9.62      14.77      19.92      33.00
       15       0.00       9.61      14.77      19.94      30.00
       16       0.00       9.23      14.39      19.55      29.00
       17       0.00       9.00      14.30      19.59      30.00
       18       0.00       8.91      14.28      19.64      32.00
       19       0.00       8.93      14.25      19.58      32.00
       20       0.00       9.02      14.21      19.41      28.00
       21       0.00       9.10      14.28      19.47      31.00
       22       0.00       9.09      14.47      19.84      31.00
       23       0.00       8.93      14.38      19.84      33.00
       24       0.00       8.91      14.32      19.74      32.00
       25       0.00       8.82      14.33      19.84      31.00
       26       0.00       8.76      14.32      19.87      31.00
       27       0.00       8.79      14.21      19.62      31.00
       28       0.00       8.39      13.98      19.58      36.00
       29       0.00       8.60      14.13      19.65      32.00
